scope,symbol,initial_reaction,horizon,n,mean_return,median_return,std_return,standard_error,ci95_lower,ci95_upper,sample_note
stock,RVNL,positive,d3,6,0.07246532539123866,0.09115448242646262,0.06111540020442278,0.024950257654470426,0.02356282038847663,0.1213678303940007,descriptive
stock,RVNL,positive,d5,6,0.03984966269162545,0.05581684224953842,0.043515375093482245,0.01776507749080789,0.005030110809641983,0.07466921457360892,descriptive
stock,RVNL,positive,d10,5,-0.01807347152812293,-0.03403373779224628,0.03514596756072899,0.015717754520158497,-0.04888027038763358,0.012733327331387722,descriptive
stock,RVNL,positive,d20,5,0.008263087576897265,0.04631547795205693,0.06187742947520649,0.027672427715902167,-0.04597487074627098,0.06250104590006551,descriptive
stock,RVNL,neutral,d1,0,,,,,,,descriptive
stock,RVNL,neutral,d3,0,,,,,,,descriptive
stock,RVNL,neutral,d5,0,,,,,,,descriptive
stock,RVNL,neutral,d10,0,,,,,,,descriptive
stock,RVNL,neutral,d20,0,,,,,,,descriptive
stock,RVNL,negative,d1,18,-0.020636071571281396,-0.029503105590062084,0.06452771139779087,0.0152093274346088,-0.05044635334311465,0.009174210200551852,inferential
stock,RVNL,negative,d3,18,0.004369401700963603,0.0004122215666599316,0.09103223861985571,0.021456504411563965,-0.03768534694570177,0.04642415034762897,inferential
stock,RVNL,negative,d5,18,0.012087246519771326,0.0016350258525630323,0.09829458564948498,0.023168256022224245,-0.033322535283788195,0.05749702832333085,inferential
stock,RVNL,negative,d10,17,0.026756710433083947,-0.00545317788642341,0.13060965115845236,0.031677493379492654,-0.03533117659072165,0.08884459745688955,inferential
stock,RVNL,negative,d20,17,0.02096431995699579,0.018189884649511878,0.13153987474876824,0.03190310573939346,-0.04156576729221539,0.08349440720620696,inferential
